Word,Character Count,value
aardvark,8,76
aargh,5,35
aback,5,18
abacus,6,47
abandon,7,51
abandoned,9,60
abandoning,10,81
abandonment,11,103
abandons,8,70
abba,4,6
abbey,5,35
abbot,5,40
abbots,6,59
abdomen,7,54
abdominal,9,71
abduct,6,51
abducted,8,60
abducting,9,81
abduction,9,89
abductions,10,108
aberration,10,103
abetted,7,57
abide,5,21
abiding,7,46
abigail,7,41
abilities,9,86
ability,7,78
ablaze,6,47
able,4,20
abnormal,8,76
abnormalities,13,138
abnormality,11,130
abnormally,10,113
aboard,6,41
abode,5,27
abolish,7,66
abominable,10,74
abomination,11,113
aboriginal,10,88
abort,5,56
abortion,8,94
abortions,9,113
abound,6,57
about,5,59
above,5,45
aboveboard,10,85
abrasive,8,77
abreast,7,66
abroad,6,41
abrupt,6,78
abruptly,8,115
abs,3,22
absconded,9,67
absence,7,49
absences,8,68
absent,6,61
absentee,8,71
absolute,8,95
absolutely,10,132
absolutes,9,114
absolution,10,128
absolved,8,80
absorb,6,57
absorbed,8,66
absorbent,9,96
absorbing,9,87
absorption,10,129
abstain,7,66
abstinence,10,92
abstract,8,84
absurd,6,65
absurdity,9,119
absurdly,8,102
abundance,9,65
abundant,8,77
abundantly,10,114
abuse,5,48
abused,6,52
abuser,6,66
abusing,7,73
abusive,7,79
abut,4,44
abysmal,7,73
academia,8,37
academic,8,39
academics,9,58
academy,7,52
accelerant,10,82
accelerate,10,73
accelerated,11,77
accelerating,12,98
acceleration,12,106
accent,6,46
accents,7,65
accept,6,48
acceptable,10,68
acceptance,10,71
accepted,8,57
accepting,9,78
accepts,7,67
access,6,50
accessible,10,78
accessing,9,80
accessories,11,116
accessory,9,108
accident,8,59
accidental,10,72
accidentally,12,109
accidently,10,96
accidents,9,78
acclaim,7,42
acclimate,9,67
acclimated,10,71
accolades,9,63
accommodate,11,93
accommodating,13,118
accommodation,13,126
accommodations,14,145
accompanied,11,84
accompany,9,91
accompanying,12,121
accomplice,10,80
accomplices,11,99
accomplish,10,99
accomplished,12,108
accomplishing,13,129
accomplishment,14,151
accomplishments,15,170
accord,6,44
accordance,10,67
accorded,8,53
according,9,74
accordingly,11,111
account,7,77
accountability,14,155
accountable,11,97
accountant,10,112
accountants,11,131
accounted,9,86
accounting,10,107
accounts,8,96
accoutrements,13,157
accumulate,10,100
accumulated,11,104
accumulation,12,133
accuracy,8,75
accurate,8,72
accurately,10,109
accursed,8,74
accusation,10,106
accusations,11,125
accuse,6,52
accused,7,56
accuser,7,70
accusers,8,89
accuses,7,71
accusing,8,77
accustomed,10,104
ace,3,9
aced,4,13
aces,4,28
acetate,7,55
ache,4,17
ached,5,21
aches,5,36
achieve,7,53
achieved,8,57
achievement,11,105
achieving,9,78
aching,6,42
achingly,8,79
acid,4,17
acids,5,36
acing,5,34
acknowledge,11,100
acknowledged,12,104
acknowledgement,15,152
acknowledges,12,119
acme,4,22
acne,4,23
acorn,5,51
acoustic,8,91
acoustics,9,110
acquaint,8,86
acquaintance,12,109
acquaintances,13,128
acquainted,10,95
acquire,7,74
acquired,8,78
acquisition,11,137
acquisitions,12,156
acquitted,9,100
acre,4,27
acres,5,46
acrobat,7,60
across,6,75
act,3,24
acted,5,33
actin,5,47
acting,6,54
action,6,62
actionable,10,82
actions,7,81
activate,8,81
activated,9,85
activating,10,106
activation,10,114
activators,10,128
active,6,60
actively,8,97
activists,9,122
activities,10,117
activity,8,109
actor,5,57
actors,6,76
actress,7,85
actresses,9,109
acts,4,43
actual,6,58
actuality,9,112
actualization,13,152
actually,8,95
actuarial,9,86
acupuncture,11,143
acupuncturist,13,186
acute,5,50
ad,2,5
adage,5,18
adamant,7,54
adapt,5,42
adaptable,9,62
adapted,7,51
adapting,8,72
add,3,9
added,5,18
addendum,8,66
addict,6,41
addicted,8,50
addiction,9,79
addictive,9,77
addicts,7,60
adding,6,39
addition,8,76
additional,10,89
additions,9,95
additives,9,93
addled,6,30
address,7,70
addressed,9,79
addresses,9,94
addressing,10,100
adds,4,28
adenoids,8,71
adept,5,46
adequate,8,74
adequately,10,111
adhere,6,41
adherence,9,63
adhesive,8,73
adjacent,8,58
adjective,9,79
adjectives,10,98
adjourn,7,83
adjourned,9,92
adjust,6,75
adjustable,10,95
adjusted,8,84
adjusting,9,105
adjustment,10,127
adjustments,11,146
adjutant,8,91
administer,10,112
administered,12,121
administering,13,142
administration,14,166
administrative,14,164
administrator,13,161
administrators,14,180
admirable,9,65
admirably,9,85
admiral,7,58
admiration,10,104
admire,6,50
admired,7,54
admirer,7,68
admirers,8,87
admires,7,69
admiring,8,75
admission,9,103
admissions,10,122
admit,5,47
admits,6,66
admittance,10,90
admitted,8,76
admittedly,10,113
admitting,9,97
admonish,8,83
admonished,10,92
admonition,10,114
ado,3,20
adobe,5,27
adolescence,11,86
adolescent,10,98
adolescents,11,117
adopt,5,56
adopted,7,65
adopting,8,86
adoption,8,94
adoptive,8,92
adorable,8,58
adoration,9,97
adore,5,43
adored,6,47
adores,6,62
adoring,7,68
adrenaline,10,83
adrenals,8,74
ads,3,24
adult,5,58
adultery,8,106
adults,6,77
advance,7,50
advanced,8,54
advancement,11,102
advancements,12,121
advances,8,69
advancing,9,75
advantage,9,75
advantageous,12,130
advantages,10,94
advent,6,66
adventure,9,110
adventurer,10,128
adventures,10,129
adventurous,11,160
adversaries,11,121
adversary,9,113
adverse,7,74
adversely,9,111
adversity,9,123
advert,6,70
advertise,9,103
advertised,10,107
advertisement,13,155
advertisers,11,140
advertises,10,122
advertising,11,128
advice,6,44
advisable,9,75
advise,6,60
advised,7,64
adviser,7,78
advises,7,79
advising,8,85
advisor,7,88
advocacy,8,74
advocate,8,71
advocating,10,96
aerial,6,46
aerobic,7,53
aerobics,8,72
aerodynamics,12,127
aeroplane,9,87
aerosol,7,85
aerospace,9,83
aesthetic,9,90
aesthetics,10,109
afar,4,26
affair,6,41
affairs,7,60
affect,6,41
affected,8,50
affecting,9,71
affection,9,79
affectionate,12,105
affectionately,14,142
affections,10,98
affects,7,60
affidavit,9,78
affidavits,10,97
affiliated,10,73
affiliates,10,88
affiliation,11,102
affinity,8,90
affirm,6,53
affirmative,11,110
affirming,9,83
afflicted,9,66
afford,6,50
afforded,8,59
affront,7,80
afloat,6,55
afoot,5,57
aforementioned,14,144
aforethought,12,144
afraid,6,39
aft,3,27
after,5,50
afterglow,9,107
afterlife,9,82
aftermath,9,92
afternoon,9,108
afternoons,10,127
afterthought,12,149
afterward,9,96
afterwards,10,115
ag,2,8
aga,3,9
again,5,32
against,7,71
age,3,13
aged,4,17
ageing,6,43
ageless,7,68
agencies,8,63
agency,6,55
agenda,6,32
agendas,7,51
agent,5,47
agents,6,66
ages,4,32
aggravate,9,82
aggravated,10,86
aggravating,11,107
aggravation,11,115
aggression,10,114
aggressive,10,112
aggressively,12,149
aggressor,9,109
agile,5,34
agility,7,83
agin,4,31
aging,5,38
agitate,7,63
agitated,8,67
